1;1;CYPR
1;1;OSLO
1;1;RZYM
1;1;WĘGRY
1;1;DANIA
1;2;KASZA
1;2;BANAN
1;2;MIÓD
1;2;RYŻ
1;3;MIŚ
1;3;TAXI
1;3;SHREK
1;3;PIŁA
1;4;GOLF
1;4;TENIS
1;4;HOKEJ
1;4;BILARD
1;5;CAŁKA
1;5;DNA
1;5;CHEMIA
1;5;ATOM
1;6;KOT
1;6;PIES
1;6;MYSZ
1;6;ŻÓŁW
2;1;AMAZONKA
2;1;LIVERPOOL
2;1;WALENCJA
2;1;URUGWAJ
2;2;SZARLOTKA
2;2;MAKARON
2;2;JABŁKO
2;2;PSTRĄG
2;3;INCEPCJA
2;3;PIANISTA
2;3;GLADIATOR
2;3;SPIELBERG
2;3;DICAPRIO
2;4;KOSZYKÓWKA
2;4;SIATKÓWKA
2;4;KOLARSTWO
2;4;BIATHLON
2;5;RÓŻNICZKA
2;5;DEUTER
2;5;GRAWITACJA
2;5;OKSYMORON
2;6;KREWETKA
2;6;DZIĘCIOŁ
2;6;ALIGATOR
2;6;PSZCZOŁA
3;1;AZERBEJDŻAN
3;1;BANGLADESZ
3;1;KONSTANTYNPOL
3;1;MADAGASKAR
3;2;CROISSANT
3;2;FRANKFURTERKI				
3;2;SZAKSZUKA
3;2;GUACAMOLE
3;3;INTERSTELLAR
3;3;TARANTINO
3;3;AVENGERS
3;3;LŚNIENIE
3;3;CASABLANCA
3;4;LEKKOATLETYKA
3;4;JEŹDZIECTWO
3;4;NARCIARSTWO
3;4;KAJAKARSTWO
3;5;PROBABILISTYKA
3;5;SŁOWOTWÓRSTWO
3;5;TETRAMETYLOPENTAN
3;5;ELEKTRONIKA
3;6;ŚWIERSZCZ
3;6;GŻEGŻÓŁKA
3;6;ICHTIOZAUR
3;6;HIPOPOTAM